fecha,porcentaje,anio,semana_iso
2023-05-01,48.12,2023,18
2023-05-08,47.77,2023,19
2023-05-15,47.42,2023,20
2023-05-22,47.08,2023,21
2023-05-29,46.73,2023,22
2023-06-05,46.38,2023,23
2023-06-12,46.04,2023,24
2023-06-19,45.69,2023,25
2023-06-26,45.35,2023,26
2023-07-03,45.0,2023,27
2023-07-10,44.72,2023,28
2023-07-17,44.44,2023,29
2023-07-24,44.17,2023,30
2023-07-31,43.89,2023,31
2023-08-07,43.61,2023,32
2023-08-14,43.33,2023,33
2023-08-21,43.06,2023,34
2023-08-28,42.78,2023,35
2023-09-04,42.5,2023,36
2023-09-11,42.22,2023,37
2023-09-18,41.94,2023,38
2023-09-25,41.67,2023,39
2023-10-02,41.39,2023,40
2023-10-09,41.11,2023,41
2023-10-16,40.83,2023,42
2023-10-23,40.56,2023,43
2023-10-30,40.28,2023,44
2023-11-06,40.0,2023,45
2023-11-13,39.88,2023,46
2023-11-20,39.75,2023,47
2023-11-27,39.62,2023,48
2023-12-04,39.5,2023,49
2023-12-11,39.38,2023,50
2023-12-18,39.25,2023,51
2023-12-25,39.12,2023,52
2024-01-01,39.0,2024,1
2024-01-08,38.53,2024,2
2024-01-15,38.07,2024,3
2024-01-22,37.6,2024,4
2024-01-29,37.13,2024,5
2024-02-05,36.67,2024,6
2024-02-12,36.2,2024,7
2024-02-19,35.73,2024,8
2024-02-26,35.27,2024,9
2024-03-04,34.8,2024,10
2024-03-11,34.33,2024,11
2024-03-18,33.87,2024,12
2024-03-25,33.4,2024,13
2024-04-01,32.93,2024,14
2024-04-08,32.47,2024,15
2024-04-15,32.0,2024,16
2024-04-22,31.51,2024,17
2024-04-29,31.03,2024,18
2024-05-06,30.54,2024,19
2024-05-13,30.06,2024,20
2024-05-20,29.57,2024,21
2024-05-27,29.09,2024,22
2024-06-03,28.6,2024,23
2024-06-10,28.12,2024,24
2024-06-17,27.63,2024,25
2024-06-24,27.15,2024,26
2024-07-01,27.18,2024,27
2024-07-08,28.53,2024,28
2024-07-15,29.88,2024,29
2024-07-22,31.23,2024,30
2024-07-29,32.57,2024,31
2024-08-05,33.92,2024,32
2024-08-12,35.27,2024,33
2024-08-19,36.61,2024,34
2024-08-26,37.96,2024,35
2024-09-02,39.31,2024,36
2024-09-09,40.65,2024,37
2024-09-16,42.0,2024,38
2024-09-23,43.09,2024,39
2024-09-30,44.18,2024,40
2024-10-07,45.27,2024,41
2024-10-14,46.36,2024,42
2024-10-21,47.45,2024,43
2024-10-28,48.55,2024,44
2024-11-04,49.64,2024,45
2024-11-11,50.73,2024,46
2024-11-18,51.82,2024,47
2024-11-25,52.91,2024,48
2024-12-02,54.0,2024,49
2024-12-09,53.67,2024,50
2024-12-16,53.33,2024,51
2024-12-23,53.0,2024,52
2024-12-30,52.67,2025,1
2025-01-06,52.33,2025,2
2025-01-13,52.0,2025,3
2025-01-20,51.67,2025,4
2025-01-27,51.33,2025,5
2025-02-03,51.0,2025,6
2025-02-10,50.69,2025,7
2025-02-17,50.38,2025,8
2025-02-24,50.08,2025,9
2025-03-03,49.77,2025,10
2025-03-10,49.46,2025,11
2025-03-17,49.15,2025,12
2025-03-24,48.85,2025,13
2025-03-31,48.54,2025,14
2025-04-07,48.23,2025,15
2025-04-14,47.92,2025,16
2025-04-21,47.62,2025,17
2025-04-28,47.31,2025,18
2025-05-05,47.0,2025,19
2025-05-12,48.0,2025,20
2025-05-19,49.0,2025,21
2025-05-26,50.0,2025,22
2025-06-02,51.0,2025,23
2025-06-09,52.0,2025,24
2025-06-16,53.0,2025,25
2025-06-23,54.0,2025,26
2025-06-30,55.0,2025,27
2025-07-07,56.0,2025,28
2025-07-14,56.79,2025,29
2025-07-21,57.57,2025,30
2025-07-28,58.36,2025,31
2025-08-04,59.14,2025,32
2025-08-11,59.93,2025,33
2025-08-18,60.71,2025,34
2025-08-25,61.5,2025,35
2025-09-01,62.29,2025,36
2025-09-08,63.07,2025,37
2025-09-15,63.86,2025,38
2025-09-22,64.64,2025,39
2025-09-29,65.43,2025,40
2025-10-06,66.21,2025,41
2025-10-13,67.0,2025,42
2025-10-20,66.67,2025,43
2025-10-27,66.33,2025,44
2025-11-03,66.0,2025,45
2025-11-10,65.67,2025,46
2025-11-17,65.33,2025,47
2025-11-24,65.0,2025,48
2025-12-01,64.67,2025,49
2025-12-08,64.33,2025,50
2025-12-15,64.0,2025,51
2025-12-22,63.67,2025,52
2025-12-29,63.33,2026,1
2026-01-05,63.0,2026,2
2026-01-12,62.65,2026,3
2026-01-19,62.29,2026,4
2026-01-26,61.94,2026,5
2026-02-02,61.59,2026,6
2026-02-09,61.24,2026,7
2026-02-16,60.88,2026,8
2026-02-23,60.53,2026,9
2026-03-02,60.18,2026,10
2026-03-09,59.82,2026,11
2026-03-16,59.47,2026,12
2026-03-23,59.12,2026,13
2026-03-30,58.76,2026,14
2026-04-06,58.41,2026,15
2026-04-13,58.06,2026,16
2026-04-20,57.71,2026,17
2026-04-27,57.35,2026,18
2026-05-04,57.0,2026,19
